pull_name,best_pull
reactor_norm,-0.10756919195974153
Li_He_norm,-1.7522176843937975
Li_He_shape,-0.1970874599171556
geoneutrinos,0.12757009143967057
world_reactors,0.10294967094987718
bi_po,0.11957517658890741
others,0.2895588321470822
energy_scale,-0.5397317627386268
energy_resolution,0.031159586975066232
reactor_flux_01,0.3438943350580475
reactor_flux_02,0.09933342131540047
reactor_flux_03,0.00545245705314028
reactor_flux_04,-0.04894223675647721
reactor_flux_05,0.0280954227538055
reactor_flux_06,-0.047248314289836627
reactor_flux_07,0.022580861700001374
reactor_flux_08,-0.010636971974104577
reactor_flux_09,-0.03762088068508746
reactor_flux_10,-0.032614026803653606
reactor_flux_11,-0.06266833540121766
reactor_flux_12,0.020018748376281374
reactor_flux_13,0.08112857229856986
reactor_flux_14,0.06390089438449613
reactor_flux_15,-0.024754017475552705
reactor_flux_16,-0.04759442236959457
reactor_flux_17,0.038352342247421456
reactor_flux_18,0.2085586006212648
reactor_flux_19,-0.30831246382719396
reactor_flux_20,-0.22587142524804485
reactor_flux_21,0.18230339996325653
reactor_flux_22,-0.3060784315411923
reactor_flux_23,-0.47737443319288
reactor_flux_24,-0.15198355487799564
reactor_flux_25,0.04394564939393353
