energy_MeV,observed,predicted,pearson_residual,poisson_chi2_contribution
6.7,11.81633,22.916690047265057,-2.318788405885599,6.5468479827235875
2.25,48.738,34.24477098676488,2.4766693046446537,5.415272156294698
4.65,64.97634,48.51350717716892,2.3635959217771463,5.044031327203697
6.9,10.64518,18.856418967564583,-1.8909458039913114,4.249795994749249
7.55,4.278141,9.941557347024418,-1.796185884038108,4.112131957360757
3.95,37.67548,51.17877885002728,-1.8875345933658623,3.9254317998066064
5.25,53.82097,41.24824896342152,1.957611560573984,3.493181062689551
10.7,0.4205556,0.004473574971407601,6.220876712917172,2.9893311853071585
2.05,42.91719,33.00634598608973,1.7250906327430588,2.7160682456935916
5.85,36.9666,27.970749109360106,1.7009447196643561,2.6249786179233325
3.75,61.63862,50.2064093348676,1.6134318929371176,2.4254024215549386
6.45,21.01879,14.776047471122553,1.6240383660152267,2.3289509316060997
9.0,2.159388,0.6297346516000751,1.9275880535529282,2.262641435467433
3.65,41.95871,52.20608496941733,-1.4182476255973437,2.1577011563394315
2.75,48.98061,40.03468584078822,1.4138619263760865,1.8648021485364552
7.1,9.472834,14.24925325357571,-1.265337524792539,1.8177697815644835
4.35,57.86358,49.044970011409795,1.259223729809288,1.498328254381697
1.55,29.07706,36.179162079906334,-1.1807491947954425,1.4955649124694315
3.05,36.15088,43.795522237157954,-1.1551604490489358,1.4196169724573302
5.95,33.07874,26.700272384419666,1.23440737838397,1.4151225175607234
7.9,4.007868,6.840568601217164,-1.0830651294051172,1.3800971337737842
1.95,39.9419,33.2389587559357,1.162630487494681,1.2690314936765148
2.45,42.90421,36.00653226845216,1.149508669721534,1.2442504784250747
2.55,31.37543,37.73887424314134,-1.035852152096627,1.138962791773622
3.35,41.19092,48.1237928102371,-0.9993861088257111,1.0505201664663328
2.35,29.0511,34.826960485419995,-0.9787210020989943,1.0157315106533016
7.3,7.264822,10.235883759076907,-0.9286434649679626,0.9605512882198894
4.55,44.00148,50.46003547532886,-0.9092045878691647,0.8643684187762464
5.45,29.98662,35.246963199931,-0.8860397934023321,0.8273259866721965
5.15,49.80931,43.6782429227753,0.9276913088457295,0.8229518771698423
3.85,43.11788,49.251533792741945,-0.8739958674394135,0.7977143690877728
3.15,38.86659,44.53453991089999,-0.8493320615735105,0.7540778942036397
1.05,25.20817,29.389506868790015,-0.7712923223705551,0.625300569372337
0.85,6.69652,8.884905305979599,-0.734171274763442,0.5896767365532978
4.95,40.10364,45.13142473333112,-0.7484058146233885,0.5821529080968393
1.25,53.82097,48.66312650089104,0.7393807791454862,0.5283322100500971
1.15,47.86737,43.01435762010793,0.7399539254297961,0.5280288382329328
5.35,33.87448,38.2476819977162,-0.7071262800183553,0.5202555896647372
4.15,44.01446,48.765356463718796,-0.6803303794491643,0.47865820947219184
4.25,52.81655,48.004969001711345,0.6944559517358376,0.46691828038384386
5.75,32.82614,29.137070424499104,0.6834297882745778,0.44852440421390405
1.85,29.84385,33.64760603082198,-0.655745877171171,0.44718923154397316
6.55,10.91476,13.04784330551054,-0.5905252205272609,0.36944766068149404
2.95,38.87358,42.65023042745286,-0.5782905517897792,0.34475256637846563
3.45,51.54756,47.66302669061019,0.5626625901862243,0.30832274344633603
2.15,36.95661,33.70026724686086,0.5609361620973141,0.30497783185306115
1.75,31.91957,34.73329476149307,-0.47742880885740074,0.23435543917211366
4.05,46.73716,49.86901030024617,-0.4434918265826382,0.2009367473894752
6.35,18.82027,16.995021373485024,0.44275265358182353,0.18936628935920874
1.45,36.84978,39.44456879028324,-0.41315061800293285,0.17456454487046535
1.65,33.34731,35.59948875156455,-0.37746872677312865,0.1455861426058247
4.75,48.78692,46.21288591371623,0.37864545528195565,0.14078220288928023
4.85,47.61777,45.12398802539878,0.3712399827515183,0.13534817339171212
6.25,18.04649,19.57241810882322,-0.34491480067643293,0.12218434747017515
6.05,26.21259,24.474829835915294,0.3512610513398565,0.12056360267234378
5.05,42.69055,44.97148593924786,-0.34012963209681374,0.1176952158980118
4.45,48.40752,50.485395818547914,-0.2924399534999492,0.08671917631624737
3.25,45.72676,47.7033314232741,-0.28617926066521265,0.08305374926974762
1.35,45.27048,46.75078294182026,-0.21649913124828513,0.04737457043216997
6.15,23.1005,22.088661780890458,0.21529124877447842,0.04565836043870286
3.55,51.93295,50.61040396655952,0.18590492506207687,0.03426346890708354
2.85,38.87658,39.97789323484975,-0.17418105086761182,0.030621534298025388
8.35,2.828032,3.021797822662913,-0.11146652820547066,0.012699213991357816
5.65,29.98063,30.600741273653064,-0.11209949430060624,0.012652050877050458
5.55,33.22051,32.63155304175719,0.10310142912794337,0.01056652366719013
2.65,37.977,38.465671083857046,-0.078791611749968,0.0062345758405879526
