pull_name,best_pull_sigma
reactor_norm,-0.2128555909966449
Li_He_norm,-1.8807931307679429
Li_He_shape,-0.1772604050702454
geoneutrinos,0.08146290018789394
world_reactors,0.07404414239910512
bi_po,0.09199576019089166
others,0.2838483577456509
energy_scale,-0.47043786190030595
energy_resolution,0.03221211910508249
reactor_flux_01,0.3351582135428024
reactor_flux_02,0.10063460808586953
reactor_flux_03,0.0015777505102391783
reactor_flux_04,-0.05046628783571178
reactor_flux_05,0.02859336525764003
reactor_flux_06,-0.044789721244553174
reactor_flux_07,0.021291994505316506
reactor_flux_08,-0.008880640264823488
reactor_flux_09,-0.037696035228257166
reactor_flux_10,-0.03577273574193201
reactor_flux_11,-0.06023680972572719
reactor_flux_12,0.023729716362122708
reactor_flux_13,0.08598041479709448
reactor_flux_14,0.057381620616655186
reactor_flux_15,-0.029359870000051365
reactor_flux_16,-0.053115307626564696
reactor_flux_17,0.045852119242828025
reactor_flux_18,0.20001605006006226
reactor_flux_19,-0.2968184858248639
reactor_flux_20,-0.22430662881784647
reactor_flux_21,0.17049067266444576
reactor_flux_22,-0.2854021528919749
reactor_flux_23,-0.4433366627146741
reactor_flux_24,-0.21121534421654198
reactor_flux_25,0.11841594813982118
