energy_MeV,bin_width_MeV,observed_counts,predicted_counts,data_model_ratio,pearson_residual,poisson_chi2_contribution
6.7,0.20000000000000107,11.81633,22.820927361054583,0.5177848302591483,-2.3036023494498057,6.454284053383347
2.25,0.09999999999999964,48.738,34.56939265058968,1.4098598865366134,2.4098016102183895,5.144848532977846
4.65,0.10000000000000142,64.97634,48.66938804967636,1.3350556192257708,2.3374635576625735,4.938905831550528
6.9,0.1999999999999993,10.64518,18.774545507215596,0.5670006763097808,-1.8761689067498555,4.178691833546901
7.55,0.29999999999999893,4.278141,9.839997568646215,0.43477053425619755,-1.773055333834666,3.996870179476857
3.95,0.09999999999999964,37.67548,51.31107796620237,0.7342562560236237,-1.9035689782341172,3.9954962264192844
5.25,0.09999999999999787,53.82097,41.30219926705802,1.3031017949430783,1.9479378531245781,3.460384283132779
10.7,2.5999999999999943,0.4205556,0.004460234451862041,94.29002097063038,6.230372812101046,2.9918165051877605
5.85,0.10000000000000142,36.9666,27.92673764856135,1.3236991898301569,1.7106127905919646,2.653379850421473
2.05,0.09999999999999964,42.91719,33.22394711369761,1.2917547049160225,1.681680474398299,2.5872468734090575
6.45,0.09999999999999964,21.01879,14.7349730475558,1.426455951576141,1.637000653019075,2.363820774525532
3.75,0.09999999999999964,61.63862,50.49315129132944,1.220732285936458,1.5684912450817556,2.2968206590305194
3.65,0.10000000000000053,41.95871,52.51418550582472,0.7989976345600194,-1.4565972487323133,2.280109067613818
9.0,0.8000000000000043,2.159388,0.6291791711972777,3.432071655981327,1.9291390619298243,2.265341689606525
7.1,0.1999999999999993,9.472834,14.164029518778149,0.6687951325885947,-1.246493798539686,1.7609751721606806
2.75,0.09999999999999964,48.98061,40.47314576484107,1.2102002222557493,1.3372624548170204,1.6746831037254175
3.05,0.09999999999999964,36.15088,44.243021693692356,0.8170978973878261,-1.2165811647448639,1.57959062235342
1.55,0.10000000000000009,29.07706,36.10181717795126,0.8054181831533526,-1.169140716334986,1.465331818266705
4.35,0.10000000000000142,57.86358,49.19018461894216,1.1763237005156082,1.236658873587661,1.446613428968778
5.95,0.09999999999999964,33.07874,26.661629224512495,1.2406871208601036,1.2427855473863683,1.4336549166643913
7.9,0.40000000000000213,4.007868,6.742264636219815,0.5944394378217541,-1.0530733293572736,1.299516894880762
2.55,0.09999999999999964,31.37543,38.164497120686704,0.8221104001654261,-1.0989560652496622,1.286459001668831
1.95,0.10000000000000009,39.9419,33.39169200681439,1.1961628057616511,1.1335374622242016,1.2082721310236533
3.35,0.10000000000000053,41.19092,48.54587139326763,0.8484948115631595,-1.0556103906180607,1.1752824418615724
2.35,0.10000000000000053,29.0511,35.22418289112937,0.8247487270262852,-1.0401156833942464,1.1512365269312976
2.45,0.09999999999999964,42.90421,36.418119543023685,1.1781006416136826,1.0747915481393895,1.0921208167663323
7.3,0.20000000000000107,7.264822,10.153389820539738,0.7155070501975284,-0.906519266187899,0.913136417831308
4.55,0.09999999999999964,44.00148,50.61236475838418,0.8693820217659548,-0.9292472230135562,0.9037629182881819
3.15,0.10000000000000053,38.86659,44.932602082781955,0.8649975340487474,-0.9049456280162126,0.8584881192453455
3.85,0.10000000000000053,43.11788,49.44056538762325,0.8721154311636159,-0.8992073702346447,0.8454308883774413
5.45,0.09999999999999964,29.98662,35.27396011860663,0.85010642125726,-0.8902462201031865,0.8354017422429703
5.15,0.10000000000000142,49.80931,43.72516122464258,1.1391452565286033,0.9200980611354947,0.8098375679669783
1.25,0.10000000000000053,53.82097,48.2281386706038,1.1159661451501377,0.8053440815856272,0.6248677911872136
1.15,0.09999999999999964,47.86737,42.689746526835805,1.1212849429759302,0.792444173234656,0.60401596416472
4.95,0.09999999999999964,40.10364,45.16586439770376,0.8879192402224649,-0.7532449513000483,0.5898496262905084
1.05,0.10000000000000009,25.20817,29.206751914747358,0.8630939199805934,-0.7398852448755509,0.5742771478590667
0.85,0.30000000000000004,6.69652,8.772810555309693,0.7633266394823686,-0.7010011862587425,0.5355329714741406
5.35,0.10000000000000142,33.87448,38.29395901701613,0.8845906996700886,-0.7141771357139317,0.5308876765028554
4.15,0.10000000000000142,44.01446,49.016263821192474,0.897956240821645,-0.7144248488029656,0.5287080199182679
1.85,0.09999999999999964,29.84385,33.74121559806346,0.8844924366540265,-0.6709509696697167,0.46858432502591274
5.75,0.09999999999999787,32.82614,29.099567516007774,1.1280628133714437,0.6908222322223381,0.45807538434431017
4.25,0.09999999999999787,52.81655,48.209607735871195,1.0955606668564724,0.6635077052524827,0.4268530981788654
2.95,0.09999999999999964,38.87358,43.059173997046614,0.902794373219196,-0.6378583604005574,0.42072713204728807
6.55,0.09999999999999964,10.91476,12.997136828463969,0.8397818799673228,-0.5776110288560165,0.35303376956599397
2.15,0.10000000000000053,36.95661,33.97717707985315,1.0876892424919407,0.5111401136901972,0.2539457092634043
3.45,0.09999999999999964,51.54756,48.01430313038384,1.0735875903482661,0.5099057355203129,0.2538509547144834
1.75,0.10000000000000053,31.91957,34.74987438970793,0.9185520972545963,-0.48012743795040536,0.23704892267368738
4.05,0.09999999999999964,46.73716,50.093047724866146,0.9330069165825524,-0.4741532097239732,0.2300170021038932
6.35,0.10000000000000142,18.82027,16.97107406640745,1.108961632384414,0.4488779427894233,0.19454752673334186
1.45,0.10000000000000009,36.84978,39.237452873790524,0.9391481174511861,-0.38117501135421994,0.14833461747477372
1.65,0.09999999999999964,33.34731,35.56933178697276,0.9375298417108141,-0.3725722114627017,0.14179436452613547
4.85,0.10000000000000142,47.61777,45.191027934454766,1.053699642970392,0.3609919424322526,0.12804323847526433
4.75,0.09999999999999787,48.78692,46.332464550321845,1.0529748519423647,0.36058898214702895,0.12778735413326725
6.05,0.09999999999999964,26.21259,24.450138664275787,1.0720834904016041,0.3564318222914032,0.12409654037110895
5.05,0.09999999999999964,42.69055,45.00482795147761,0.948577118126687,-0.34497368264962713,0.12110085769000722
6.25,0.09999999999999787,18.04649,19.56028461189913,0.9226087635259538,-0.3422783031140344,0.1202993536065402
3.25,0.09999999999999964,45.72676,48.09911192930756,0.9506778434330707,-0.3420665334246604,0.11898212661116947
4.45,0.09999999999999964,48.40752,50.61707559031626,0.9563476245012665,-0.310567786986692,0.09788726692463534
2.85,0.10000000000000053,38.87658,40.39189263496071,0.9624847330464245,-0.23842683997125252,0.057571881600558594
6.15,0.10000000000000142,23.1005,22.07570423776198,1.0464218831345384,0.2181122397101631,0.04685343204083381
1.35,0.09999999999999964,45.27048,46.34642312340676,0.9767847645859996,-0.1580451609571226,0.025173840469495445
2.65,0.10000000000000053,37.977,38.87523110274375,0.9768945141349821,-0.14406271567607346,0.020915782948980333
3.55,0.09999999999999964,51.93295,50.899644997420154,1.0203008292618194,0.14483421016029752,0.02083642214993242
5.65,0.10000000000000142,29.98063,30.580310979688537,0.9803899646381345,-0.10844245117817251,0.011837397716990772
5.55,0.09999999999999964,33.22051,32.634425459584264,1.0179590886667076,0.10259407501173114,0.010463094274138163
8.35,0.49999999999999645,2.828032,2.9376328139390706,0.9626907714881809,-0.06394624158098855,0.004140946246322164
