E_prompt,Li_He,geoneutrinos,world_reactors_digitized,bi_po,others
0.6,0.0,0.09977827050997096,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.1267025657269463,0.0,0.0,0.0
0.7200000000000001,0.0,0.3405131453911681,0.0,0.0,0.0
0.7400000000000001,0.0,0.5741210009502253,0.0,0.0,0.0
0.7600000000000001,0.0,0.7879315806144471,0.0,0.0,0.0
0.7800000000000001,0.0,0.9423503325941629,0.0,0.0,0.0
0.8000000000000002,0.0,0.9977827050997019,0.0,0.0,0.0
0.8200000000000002,0.0,0.9146341463413934,0.0,0.0,0.0
0.8400000000000002,0.0,0.9146341463413934,0.0,0.0,0.0
0.8600000000000002,0.0,0.9146341463413934,0.0,0.0,0.0
0.8800000000000002,0.0,0.8037694013303072,0.0,0.0,0.0
0.9000000000000002,0.0,0.8499630450849265,0.0,0.0,0.0
0.9200000000000003,0.0,1.0743321718930774,0.0,0.0,0.0
0.9400000000000003,0.0,1.3831696758525325,0.0,0.0,0.0
0.9600000000000003,0.0,1.2855031147713376,0.0,0.0,0.0
0.9800000000000003,0.0,1.9493717664448664,0.0,0.0,0.0
1.0000000000000004,0.0,3.2243163340723604,0.0,0.0,0.0
1.0200000000000005,0.0,4.901805511561536,0.0,0.0,0.0
1.0400000000000005,0.0,6.543659592440006,0.0,0.0,0.0
1.0600000000000005,0.0,8.18023439974652,0.0,0.0,0.0
1.0800000000000005,0.0,9.62543554006961,0.0,0.0,0.0
1.1000000000000005,0.0,10.542709323197052,0.0,0.0,0.0
1.1200000000000006,0.0,10.567785872663844,0.08446837715129434,0.0,0.0
1.1400000000000006,0.0,10.95053320663069,0.2270087635941035,0.0,0.0
1.1600000000000006,0.0,11.401911097032972,0.3827473339668024,0.0,0.0
1.1800000000000006,0.0,11.983951008341176,0.5252877204096116,0.0,0.0
1.2000000000000006,0.0,12.348220884806171,0.6282335550627515,0.0,0.0
1.2200000000000006,0.0,12.605585471439051,0.6651884700664428,0.0,0.0
1.2400000000000007,0.0,12.777161862527638,0.6097560975609059,0.0,0.0
1.2600000000000007,0.0,12.748125857881876,0.6097560975609059,0.0,0.0
1.2800000000000007,0.0,12.356139795164108,0.6097560975609059,0.0,0.0
1.3000000000000007,0.0,12.092176116566282,0.6097560975609059,0.0,0.0
1.3200000000000007,0.0,11.457343469538515,0.6097560975609059,0.0,0.0
1.3400000000000007,0.0,10.615299334811452,0.6097560975609059,0.0,0.16893675430259827
1.3600000000000008,0.0,9.757417379368523,0.6097560975609059,0.0,0.45401752718823274
1.3800000000000008,0.0,8.463995354239183,0.6097560975609059,0.0,0.7654946679336483
1.4000000000000008,0.0,6.984478935698374,0.6097560975609059,0.0,1.0505754408192827
1.4200000000000008,0.0,5.5511561609121856,0.6097560975609059,0.0,1.2564671101255742
1.4400000000000008,0.0,4.253774680603877,0.6097560975609059,0.0,1.330376940132961
1.4600000000000009,0.0,3.5318340196388256,0.6097560975609059,0.0,1.219512195121881
1.4800000000000009,0.0,2.796695174743884,0.6097560975609059,0.0,1.219512195121881
1.5000000000000009,0.0,2.361155105057473,0.6097560975609059,0.0,1.219512195121881
1.520000000000001,0.0,2.391510928096223,0.6042128603103516,0.0,1.219512195121881
1.540000000000001,0.0,2.2436912680814407,0.6023651145601667,0.08446837715129434,1.219512195121881
1.560000000000001,0.0,2.2344525393305172,0.6108119522752972,0.2270087635941035,1.219512195121881
1.580000000000001,0.0,2.2885650934430712,0.63351282863471,0.3827473339668024,1.219512195121881
1.600000000000001,0.0,2.3598352866644836,0.6717875620313948,0.5252877204096116,1.214472888530468
1.620000000000001,0.1649772991236309,2.490497307570407,0.7243163340723618,0.6282335550627515,1.2127931196666637
1.640000000000001,0.4487382536162763,2.580244958293668,0.7871396895786441,0.6651884700664428,1.2204720630440549
1.660000000000001,0.7662488498724992,2.6303980572272545,0.8536585365852959,0.6097560975609059,1.2411092233707939
1.680000000000001,1.0675445344434287,2.701668250448667,0.9146341463413934,0.6097560975609059,1.275904435549598
1.700000000000001,1.3007752990330665,2.753141167775243,0.975609756097491,0.6097560975609059,1.3236578646777502
1.720000000000001,1.4122056804982868,2.7716186252770907,1.0421286031041428,0.6097560975609059,1.3807700060470975
1.740000000000001,1.346214760848837,2.743902439024319,1.104951958610425,0.6097560975609059,1.4412416851440537
1.7600000000000011,1.3937282229964454,2.743902439024319,1.1574807306513921,0.6097560975609059,1.4966740576495972
1.7800000000000011,1.4372822299650863,2.7161862527715472,1.1957554640480768,0.6097560975609059,1.5521064301551402
1.8000000000000012,1.4808362369337273,2.734663710273395,1.2184563404074897,0.6097560975609059,1.6075388026606836
1.8200000000000012,1.5243902439023687,2.786136627599971,1.22690317812262,0.6097560975609059,1.6680104817576396
1.8400000000000012,1.56794425087101,2.8574068208213834,1.2250554323724354,0.6097560975609059,1.7251226231269872
1.8600000000000012,1.611498257839651,2.90755991975497,1.219512195121881,0.6097560975609059,1.7728760522551392
1.8800000000000012,1.6550522648082922,2.9973075704782306,1.219512195121881,0.6097560975609059,1.8076712644339434
1.9000000000000012,1.7025657269559002,3.1002534051313826,1.219512195121881,0.6097560975609059,1.8283084247606824
1.9200000000000013,1.7474395523175303,3.1900010558546428,1.219512195121881,0.6097560975609059,1.8359873681380736
1.9400000000000013,1.7849601037753642,3.2401541547882298,1.219512195121881,0.6097560975609059,1.8343075992742692
1.9600000000000013,1.8122991990587103,3.311424348009642,1.219512195121881,0.6097560975609059,1.829268292682856
1.9800000000000013,1.8285141107440053,3.362897265336218,1.219512195121881,0.6097560975609059,1.829268292682856
2.0000000000000013,1.8345475662548127,3.3813747228380655,1.219512195121881,0.5820399113081343,1.829268292682856
2.0200000000000014,1.8332277478618235,3.353658536585294,1.219512195121881,0.6005173688099821,1.829268292682856
2.0400000000000014,1.829268292682856,3.353658536585294,1.219512195121881,0.6797064723893294,1.829268292682856
2.0600000000000014,1.829268292682856,3.353658536585294,1.219512195121881,0.7324992081088944,1.829268292682856
2.0800000000000014,1.829268292682856,3.353658536585294,1.219512195121881,0.7588955759686768,1.829268292682856
2.1000000000000014,1.829268292682856,3.353658536585294,1.219512195121881,0.7588955759686768,1.829268292682856
2.1200000000000014,1.829268292682856,3.353658536585294,1.219512195121881,0.7324992081088944,1.829268292682856
2.1400000000000015,1.829268292682856,3.3813747228380655,1.219512195121881,0.6797064723893294,1.829268292682856
2.1600000000000015,1.829268292682856,3.362897265336218,1.219512195121881,0.6005173688099821,1.829268292682856
2.1800000000000015,1.829268292682856,3.311424348009642,1.219512195121881,0.5820399113081343,1.829268292682856
2.2000000000000015,1.829268292682856,3.2401541547882298,1.219512195121881,0.6097560975609059,1.829268292682856
2.2200000000000015,1.829268292682856,3.162284869601871,1.219512195121881,0.5820399113081343,1.829268292682856
2.2400000000000015,1.829268292682856,3.146447048886002,1.219512195121881,0.6051367331854439,1.829268292682856
2.2600000000000016,1.829268292682856,3.0857354028085022,1.219512195121881,0.6581494386371737,1.829268292682856
2.2800000000000016,1.829268292682856,2.945834653151655,1.219512195121881,0.722380600429311,1.829268292682856
2.3000000000000016,1.829268292682856,2.7795375356350256,1.219512195121881,0.7813324886494919,1.829268292682856
2.3200000000000016,1.829268292682856,2.5525287720408962,1.219512195121881,0.8207070707070008,1.829268292682856
2.3400000000000016,1.829268292682856,2.3321191004117123,1.219512195121881,0.8284060113327707,1.829268292682856
2.3600000000000017,1.829268292682856,2.1568370653735798,1.219512195121881,0.7899113082039212,1.829268292682856
2.3800000000000017,1.829268292682856,2.068053897322119,1.219512195121881,0.7052229613204525,1.829268292682856
2.4000000000000017,1.8015521064300846,2.1066332041941087,1.219512195121881,0.6614489846196466,1.8015521064300846
2.4200000000000017,1.7923133776791609,2.1387149435929214,1.219512195121881,0.6295533734557428,1.7923133776791609
2.4400000000000017,1.8622637525075842,2.1460754692461297,1.219512195121881,0.6106359764895652,1.8622637525075842
2.4600000000000017,1.9850068630555726,2.1561771561770855,1.219512195121881,0.6035969450602899,1.9850068630555726
2.4800000000000018,2.1341463414633433,2.168258570697524,1.219512195121881,0.6051367331854439,2.1341463414633433
2.5000000000000018,2.2832858198711143,2.1810506566603416,1.219512195121881,0.6097560975609059,2.2832858198711143
2.520000000000002,2.406028930419103,2.1927767354595913,1.219512195121881,0.6097560975609059,2.406028930419103
2.540000000000002,2.4759793052475265,2.204502814258841,1.219512195121881,0.6097560975609059,2.4759793052475265
2.560000000000002,2.466740576496603,2.21622889305809,1.219512195121881,0.6097560975609059,2.466740576496603
2.580000000000002,2.4390243902438313,2.22795497185734,1.219512195121881,0.6097560975609059,2.4390243902438313
2.600000000000002,2.4390243902438313,2.239681050656589,1.219512195121881,0.6097560975609059,2.4390243902438313
2.620000000000002,2.4390243902438313,2.251407129455839,1.219512195121881,0.6097560975609059,2.4390243902438313
2.640000000000002,2.4390243902438313,2.2631332082550886,1.219512195121881,0.6097560975609059,2.4390243902438313
2.660000000000002,2.4390243902438313,2.274859287054338,1.219512195121881,0.6097560975609059,2.4390243902438313
2.680000000000002,2.4390243902438313,2.286585365853587,1.219512195121881,0.6097560975609059,2.4390243902438313
2.700000000000002,2.4390243902438313,2.298311444652837,1.219512195121881,0.6097560975609059,2.4390243902438313
2.720000000000002,2.4390243902438313,2.3100375234520865,1.219512195121881,0.6097560975609059,2.4390243902438313
2.740000000000002,2.4390243902438313,2.3217636022513357,1.219512195121881,0.6097560975609059,2.4390243902438313
2.760000000000002,2.4390243902438313,2.333489681050586,1.219512195121881,0.6097560975609059,2.4390243902438313
2.780000000000002,2.4390243902438313,2.345215759849835,1.219512195121881,0.6097560975609059,2.4390243902438313
2.800000000000002,2.4390243902438313,2.3569418386490844,1.219512195121881,0.6097560975609059,2.4390243902438313
2.820000000000002,2.4390243902438313,2.368667917448334,1.219512195121881,0.6097560975609059,2.4390243902438313
2.840000000000002,2.4390243902438313,2.3803939962475837,1.219512195121881,0.6097560975609059,2.466740576496603
2.860000000000002,2.4390243902438313,2.392120075046833,1.219512195121881,0.6097560975609059,2.4205469327419835
2.880000000000002,2.4390243902438313,2.4038461538460827,1.219512195121881,0.6097560975609059,2.3875514729172553
2.900000000000002,2.4390243902438313,2.4155722326453324,1.219512195121881,0.6097560975609059,2.3677541970224185
2.920000000000002,2.4390243902438313,2.4272983114445816,1.219512195121881,0.6097560975609059,2.361155105057473
2.940000000000002,2.4390243902438313,2.4390243902438313,1.219512195121881,0.6097560975609059,2.3677541970224185
2.960000000000002,2.4390243902438313,2.450750469043081,1.219512195121881,0.6097560975609059,2.3875514729172553
2.980000000000002,2.4390243902438313,2.4624765478423303,1.219512195121881,0.6097560975609059,2.4205469327419835
3.000000000000002,2.4390243902438313,2.4742026266415795,1.219512195121881,0.6097560975609059,2.466740576496603
