E_prompt,Li_He,geoneutrinos,world_reactors,bi_po,others,Total_background
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.8500000000000001,0.0,0.8327106823068472,0.0,0.0,0.0,0.8327106823068472
0.95,0.0,1.1183498117028026,0.0,0.0,0.0,1.1183498117028026
1.05,0.0,1.6315319763803207,0.0,0.0,0.0,1.6315319763803207
1.1500000000000001,0.0,9.001667026953271,0.0,0.0,0.0,9.001667026953271
1.25,0.0,13.665492360028829,0.366841774200424,0.0,0.0,14.032334134229252
1.35,0.0,15.605256391294173,0.7336835484008604,0.0,0.0,16.338939939695035
1.4500000000000002,0.0,12.455157065978138,0.7336835484008604,0.0,0.02310296733327982,13.211943581712278
1.55,0.0,4.759845266403513,0.7336835484008604,0.0,0.09456553577944522,5.588094350583818
1.6500000000000001,0.0,2.7377784351426975,0.7298722052922836,0.034319580839880924,0.09045399074555596,3.592424212020418
1.75,0.8702965020495425,3.18560249394147,0.987137865121182,0.14047760631918,0.09129053886933418,5.274805006300708
1.85,1.9626239552738016,3.355049435108577,1.3611259076502353,0.13436988430530197,0.10895594339805686,6.922125125735972
1.9500000000000002,2.2774379134174496,3.524496376275679,1.4707020220218088,0.13436988430530197,0.1297272553225099,7.53673345134275
2.05,2.576720509404716,4.005402933111838,1.4673670968018042,0.13436988430530197,0.13586787452896784,8.31972829815263
2.1500000000000004,2.620613489411877,4.100615976243835,1.4673670968018042,0.15560148940116314,0.13568098611833648,8.479879037977016
2.25,2.620613489411877,4.1232089017327835,1.4673670968018042,0.14105929413002655,0.13568098611833648,8.487929768194828
2.3500000000000005,2.620613489411877,3.810135505671661,1.4673670968018042,0.13919304573689562,0.13568098611833648,8.172990123740574
2.45,2.620613489411877,2.74438872790253,1.4673670968018042,0.17831155101625862,0.13568098611833648,7.146361851250806
2.55,2.7558038678339054,2.630244799402034,1.4673670968018042,0.13378819649445658,0.14268040206888497,7.129884362601086
2.6500000000000004,3.5404752950388096,2.7026787116152247,1.4673670968018042,0.13436988430530197,0.18330638276088576,8.028197370522026
2.75,3.4941513192158697,2.7743678021089995,1.4673670968018042,0.13436988430530197,0.18090798149111706,8.051164083923092
2.8500000000000005,3.4941513192158697,2.8460568926027747,1.4673670968018042,0.13436988430530197,0.18090798149111706,8.122853174416868
2.95,3.4941513192158697,2.9177459830965495,1.4673670968018042,0.13436988430530197,0.18125061024394148,8.194884893663467
3.05,3.4941513192158697,2.9894350735903243,1.4673670968018042,0.13436988430530197,0.17635591377502535,8.261679287688324
3.1500000000000004,3.4941513192158697,3.0611241640840983,1.4673670968018042,0.13370509823576404,0.18090798149111706,8.337255659828653
3.25,3.4941513192158697,3.132813254577874,1.425283516644612,0.17857815792956047,0.18668372332443686,8.417509971692354
3.3500000000000005,3.4941513192158697,3.2045023450716488,1.4252835166446034,0.2431455049334147,0.20454936543597982,8.571632051301517
3.45,3.4941513192158697,3.276191435565423,1.37367157871598,0.30713116412642266,0.20352147917750732,8.654666976801202
3.55,3.5177860007581754,3.3478805260591975,1.0838506965013064,0.37257422146846164,0.20352147917750732,8.525612923964648
3.6500000000000004,3.9309202341178593,3.4195696165529728,1.1005253226013323,0.40127717738067753,0.20352147917750732,9.055813829830349
3.75,4.344054467477535,3.491258707046747,1.1005253226013323,0.3887915504899603,0.20352147917750732,9.528151526793081
3.8500000000000005,4.367689149019861,3.562947797540522,1.1005253226013323,0.37777762554690153,0.20215096416621076,9.611090858874828
3.95,4.367689149019861,3.6346368880342976,1.1005253226013323,0.3667637006038427,0.22491130274666812,9.694526363006
4.050000000000001,4.367689149019861,3.93300005513698,1.1005253226013323,0.355749775660784,0.2261349768638976,9.983099279282856
4.15,4.367689149019861,0.25885658173537746,1.1005253226013323,0.34473585071772517,0.2261349768638976,6.297941880938194
4.25,4.367689149019861,0.0,1.1005253226013323,0.3337219257746665,0.2261349768638976,6.028071374259757
4.35,4.367689149019861,0.0,1.1005253226013323,0.32270800083160767,0.2319107186972171,6.022833191150018
4.45,4.367689149019861,0.0,1.1171999487013493,0.31169407588854875,0.2497763608087604,6.046359534418519
4.550000000000001,4.367689149019861,0.0,0.8273790664867067,0.30068015094549005,0.24874847455028784,5.744496841002345
4.65,4.367689149019861,0.0,0.7336835484008604,0.2896662260024313,0.24874847455028784,5.639787397973441
4.75,4.367689149019861,0.0,0.7336835484008604,0.2786523010593725,0.24874847455028784,5.628773473030382
4.8500000000000005,4.367689149019861,0.0,0.7336835484008604,0.2676383761163137,0.24874847455028784,5.6177595480873235
4.95,4.367689149019861,0.0,0.7336835484008604,0.2566244511732548,0.24874847455028784,5.606745623144264
5.050000000000001,4.367689149019861,0.0,0.7336835484008604,0.245610526230196,0.24874847455028784,5.595731698201206
5.15,4.367689149019861,0.0,0.7336835484008604,0.23459660128713733,0.24874847455028784,5.584717773258147
5.25,4.367689149019861,0.0,0.7336835484008604,0.22358267634407855,0.24874847455028784,5.5737038483150885
5.3500000000000005,4.367689149019861,0.0,0.7336835484008604,0.21256875140101963,0.24874847455028784,5.562689923372029
5.45,4.367689149019861,0.0,0.7336835484008604,0.20155482645796094,0.24874847455028784,5.55167599842897
5.550000000000001,4.367689149019861,0.0,0.7336835484008604,0.19054090151490216,0.24874847455028784,5.540662073485912
